sex,avebooks,readprint,readaudio,readebook
Male,12,1,1,0
Female,2,1,0,0
Male,1,1,0,0
Male,3,1,0,0
Female,4,0,0,1
Female,0,1,0,0
Female,6,1,0,0
Female,12,1,1,1
Male,4,1,0,0
Male,6,1,1,0
Male,5,1,0,0
Female,48,1,0,0
Female,30,1,1,1
Female,1,1,0,0
Male,3,1,0,0
Female,54,1,0,1
Female,5,1,0,0
Male,0,1,1,0
Male,2,0,0,0
Female,7,2,0,1
Male,11,2,0,0
Female,6,2,2,0
Male,4,4,0,0
Female,11,7,1,1
Male,1,0,0,1
Female,22,3,0,2
Male,6,3,1,0
Female,5,0,0,0
Male,4,7,1,2
Female,15,2,0,0
Male,32,1,0,0
Female,3,1,0,0
Male,15,1,0,0
Male,50,1,0,0
Female,10,1,0,0
Female,5,1,0,0
Female,25,1,0,0
Female,15,1,0,1
Male,24,1,0,1
Female,5,1,0,0
Female,97,1,0,0
Male,15,2,1,1
Male,25,1,0,0
Male,4,1,0,0
Female,39,4,0,3
Male,4,1,0,0
Female,10,1,0,1
Female,15,0,0,0
Female,6,2,0,0
Female,5,4,0,0
Female,1,1,0,0
Female,27,2,0,0
Female,26,4,1,1
Male,3,1,0,0
Female,15,3,0,2
Male,31,2,0,0
Female,4,1,0,0
Male,6,3,2,2
Female,4,6,1,1
Male,15,7,2,1
Female,24,9,2,7
Male,15,21,2,13
Female,12,3,1,1
Male,8,2,1,0
Female,4,1,1,1
Female,50,1,1,0
Female,15,2,1,1
Male,25,1,0,0
Male,20,1,0,0
Female,40,6,3,3
Male,6,1,1,0
Female,5,1,0,0
Male,97,1,0,1
Female,5,1,0,0
Male,17,2,0,1
Male,35,2,2,1
Male,6,1,0,0
Female,7,3,1,0
Female,40,3,1,1
Female,24,1,0,0
Male,6,1,0,0
Male,1,1,0,0
Female,16,3,1,1
Male,4,2,0,0
Female,5,1,0,0
Male,27,2,0,0
Female,84,1,0,0
Male,22,5,1,2
Female,26,6,1,4
Male,9,5,1,2
Female,5,9,0,2
Male,9,8,1,3
Female,13,4,1,1
Male,2,3,0,1
Female,7,1,0,0
Female,37,2,1,2
Female,5,1,1,1
Female,5,1,0,0
Female,10,0,0,0
Female,15,1,0,0
Female,22,5,3,2
Male,6,1,0,0
Female,1,1,0,0
Female,3,1,0,1
Male,5,1,0,1
Female,14,3,1,3
Male,30,4,1,2
Female,15,6,0,3
Male,9,3,1,4
Female,22,17,1,12
Male,16,22,7,10
Female,75,1,1,1
Male,17,5,2,1
Female,50,1,0,1
Male,4,1,0,0
Female,35,1,0,1
Female,10,1,0,0
Female,13,2,0,1
Female,35,2,0,0
Female,7,1,0,1
Male,6,0,0,1
Male,10,1,0,0
Male,25,0,0,0
Female,7,2,1,0
